Chellow Id,Chellow DNO Id,Meter Timeswitch Class Id,Meter Timeswitch Class Description,Has Related Meter?,Has Comms?,Is HH?,Meter Type Chellow Id,Meter Payment Type Chellow Id,MTC TPR Count,Effective From Settlement Date {MTC},Effective To Settlement Date {MTC}
233,,500,NHH Unrestricted 1-rate Non-Prog Credit Meter,1,0,0,17,1,1,1996-04-01,
234,,501,NHH Unrestricted 1-rate Prog Credit Meter,1,0,0,18,1,1,1996-04-01,
235,,502,Related Unmetered Continuous - Flat Profile,1,0,0,16,1,2,1996-04-01,
236,,503,Related Unmetered Dawn to Dusk,1,0,0,16,1,2,1996-04-01,
237,,504,Related Unmetered Dusk to Dawn,1,0,0,16,1,2,1996-04-01,
238,,505,Related Unmetered Half Night And Pre-Dawn,1,0,0,16,1,2,1996-04-01,
239,,506,Unmetered Reserved - Site Specific,1,0,0,16,1,,1996-04-01,
485,,800,Temporary - No Meter,0,0,0,11,4,,1996-04-01,
486,,801,NHH Unrestricted 1-rate Non-Prog Credit Meter,0,0,0,17,1,1,1996-04-01,
487,,802,NHH Unrestricted 1-rate Prog Credit Meter,0,0,0,18,1,1,1996-04-01,
488,,803,NHH 2-rate 7hrs Night Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
489,,804,NHH 2-rate 7hrs Night Prog T/S,0,0,0,15,1,2,1996-04-01,
490,,805,NHH 2-rate 7hrs Night Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
491,,806,NHH 2-rate 7hrs Night Prog RTS,0,0,0,9,1,2,1996-04-01,
492,,807,NHH 7hr E7 GMT Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
493,,808,NHH 7hr E7 GMT Prog T/S,0,0,0,15,1,2,1996-04-01,
494,,809,NHH 7hr E7 GMT Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
495,,810,NHH 7hr E7 GMT Prog RTS,0,0,0,9,1,2,1996-04-01,
496,,811,NHH 7hr E7 GMT Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
497,,812,NHH 7hr E7 GMT Prog T/S,0,0,0,15,1,2,1996-04-01,
498,,813,NHH 7hr E7 Clocktime Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
499,,814,NHH 7hr E7 GMT Non-Prog RTS,0,0,0,8,1,2,1996-04-01,
500,,815,NHH 7hr E7 GMT Prog RTS,0,0,0,9,1,2,1996-04-01,
501,,816,7hr E7 00:30-07:30 Clocktime Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
502,,817,7hr E7 00:30-07:30 Clocktime Prog T/S,0,0,0,15,1,2,1996-04-01,
503,,818,7hr Off Peak - GMT Non-Prog T/S,0,0,0,14,1,1,1996-04-01,
504,,819,7hr Off Peak - GMT Prog T/S,0,0,0,15,1,1,1996-04-01,
505,,820,8hr Night (2-rate) GMT - Non-Prog T/S,0,0,0,14,1,2,1996-04-01,
506,,821,8hr Night (2-rate) GMT - Prog T/S,0,0,0,15,1,2,1996-04-01,
507,,822,8hr OP 23:00-07:00 GMT Non-Prog T/S,0,0,0,14,1,1,1996-04-01,
508,,823,8hr OP 23:00-07:00 GMT Prog T/S,0,0,0,15,1,1,1996-04-01,
509,,824,8hr Off Peak GMT - Non-Prog T/S,0,0,0,14,1,1,1996-04-01,
510,,825,8hr Off Peak GMT - Prog T/S,0,0,0,15,1,1,1996-04-01,
511,,826,NHH Non-Prog 2r Eve/Weekend Credit Meter and T/S,0,0,0,14,1,2,1996-04-01,
512,,827,NHH Prog 2r Eve/Weekend Credit Meter and T/S,0,0,0,15,1,2,1996-04-01,
513,,828,NHH Non-Prog 3r Eve/Weekend E7 Credit Meter & T/S,0,0,0,14,1,3,1996-04-01,
514,,829,NHH Prog 3r Eve/Weekend E7 Credit Meter and T/S,0,0,0,15,1,3,1996-04-01,
515,,830,E7 Non-Prog TeleMeter And Teleswitch,0,0,0,8,1,2,1996-04-01,
516,,831,E7 Prog TeleMeter And Teleswitch,0,0,0,9,1,2,1996-04-01,
517,,832,Non-Prog 7hr split E7 Teleswitch Group All Common,0,0,0,8,1,2,1996-04-01,
518,,833,Unrestricted 1-rate PPM - Unsupported For Comp,0,0,0,19,4,1,1996-04-01,
519,,834,NHH 2r or more PPM Not Supported For Comp Supply,0,0,0,19,4,,1996-04-01,
520,,835,PP Prog 1-rate Key Meter - Unrestricted,0,0,0,15,2,1,1996-04-01,
521,,836,NHH Prog 1-rate Smart Card Meter,0,0,0,9,6,1,1996-04-01,
522,,837,Unrestricted 1-rate Non-Prog Token PPM,0,0,0,17,8,1,1996-04-01,
523,,838,Unrestricted 1-rate Non-Prog PPM,0,0,0,17,7,1,1996-04-01,
524,,839,Unrestricted 1-rate Prog PPM Token,0,0,0,15,8,1,1996-04-01,
525,,840,Unrestricted 1-rate Prog,0,0,0,15,7,1,1996-04-01,
526,,841,Unrestricted 1-rate Non-Prog PPM Token Acceptor,0,0,0,17,8,1,1996-04-01,
527,,842,Unrestricted Non-Prog Token Acceptor PPM,0,0,0,17,7,1,1996-04-01,
528,,843,NHH 1-rate Prog T/S Token Acceptor,0,0,0,15,8,1,1996-04-01,
529,,845,HH COP5 And Above With Comms,0,1,1,5,1,,1996-04-01,
530,,846,HH COP5 And Above Without Comms,0,0,1,5,1,,1996-04-01,
531,,847,HH COP6(a) With Comms,0,1,1,1,1,,1996-04-01,
532,,848,HH COP6(b) With Comms,0,1,1,2,1,,1996-04-01,
533,,849,HH COP6(c) With Comms,0,1,1,3,1,,1996-04-01,
