Chellow Id,Market Participant Id,Market Participant Name
1,AAUL,Alcan Aluminium Limited
2,ACCU,G4S Utility Services (UK) Ltd
3,ACEL,Accord Energy Ltd
4,ACTA,ACTARIS UK LIMITED
5,ADAP,Celtpower Ltd
6,AEPD,AES NewEnergy Ltd
7,AESB,AES Barry Ltd
8,AFPL,AES Fifoots Point Ltd
9,AGSS,amerada.co.uk Ltd
10,AHEL,Severn Trent Energy Ltd
11,AHGL,Amerada Hess Gas Ltd
12,AMGD,Amerada Hess Gas (Dom)
13,AMMR,Orsis UK (Ltd)
14,ANRG,Abingdon Energy Limited
15,APGL,Anglian Power Generators Ltd
16,AQES,Aquila Energy Supplies Ltd
17,BARK,Barking Power
18,BERM,British Energy Retail Market
19,BGAS,British Gas Trading Ltd
20,BGPL,British Gas plc
21,BIZZ,British Gas Trading Ltd
22,BMET,BGlobal Metering Limited
23,BNFL,British Nuclear Fuels plc
24,BNRG,Electricity Plus Supply Ltd
25,BORL,Eggborough Power Ltd
26,CABH,Cabah Energy Limited
27,CALB,Coopers & Lybrand
28,CAML,Connect Utilities Limited
29,CAND,Candecca Resources Limited
30,CAPG,Logica UK Limited
31,CDSL,Controls Devices & Systems Ltd
32,CECO,Coryton Energy Company Ltd
33,CENP,Midlands Power (UK) Ltd
34,CESL,Commercial Electricity
35,CGEN,Citigen (London) Ltd
36,CGTL,Cinergy Global Trading
37,CGUK,Cinergy Global Power (UK) Ltd
38,CIDA,CIDA
39,CIDB,CIDB
40,CIDC,CIDC
41,CNDL,Candela Energy Supply Limited
42,CNRG,Cherwell Energy Limited
43,COOP,Energy COOP Ltd
44,CORB,Corby Power
45,CROS,Crosfield Ltd
46,CROW,Reuben Power Supply Limited
47,CUST,Dummy ID for Customers
48,DAMC,Damhead Creek Ltd
49,DASL,Siemens Metering Ltd
50,DDCL,Dataflex Design Communication
51,DEES,Deeside Power Developmt Co Ltd
52,DERW,Derwent Co. Generation Ltd
53,DMOM,DrakMarn O&M Ltd
54,DNRG,Donnington Energy Limited
55,DRAK,TXU Europe Drakelow Ltd
56,DRAX,AES Drax Power Limited
57,DUAL,Dual Energy Direct Limited
58,EASL,Electricity Assn Services Ltd
59,EBES,BES Commercial Electricity Ltd
60,ECOA,British Gas Trading Ltd
61,ECOB,EnergyCo2 Ltd
62,ECOE,ECOES SERVICE PROVIDER
63,ECON,Economy Power
64,ECOT,Renewable Energy Company Ltd
65,ECSM,ECS Metering Services
66,EDEF,EDF Production Transport
67,EDFE,EDF Energy plc
68,EDFI,EDF Energy Ltd
69,EDIR,Electricity Direct Ltd
70,EECL,Enfield Energy Centre Limited
71,EELC,Eastern Electricity
72,EENG,E.ON Energy Ltd
73,EFPL,Edison First Power Ltd
74,ELED,ELEDOR LIMITED
75,ELME,Elm Energy & Recycling UK Ltd
76,EMEB,East Midlands Electricity plc
77,EMGE,TXU Europe Merchant Generation
78,ENCS,Energy Communications Ltd
79,ENDC,Energy Data Company Limited
80,ENEC,Eneco Energy Trade BV
81,ENGY,Energy Assets Ltd
82,ENRD,British Gas Trading
83,ENRG,Evenlode Energy Limted
84,ENRO,Enron Capital & Trade Resource
85,EPFA,Electricity Pool Funds Admin
86,EPHH,Economy Power Ltd
87,ESCL,Energy Supply Contracts Ltd
88,ESIS,Energy Settlements & Info Serv
89,ESML,E.ON UK Energy Services Ltd
90,ESPO,Essential Power Ltd
91,ESQL,E-Squared Limited
92,ETCL,Electricity Network Co
93,ETOL,Enron Teeside Operations Ltd
94,FGEN,Fibrogen Ltd
95,FHPL,Fellside Heat and Power Ltd
96,FIBR,Fibropower Ltd
97,FIWL,Fibrowatt Limited
98,FNRG,Farmoor Energy Limited
99,FORT,Fortum Direct Ltd
100,FOUR,IPM Energy Retail Ltd
101,FRST,First Utility Limited
102,FUAP,First Utility Ltd
103,GCHP,Grangemouth CHP Limited
104,GETW,Utilita Electricity Limited
105,GLAC,The Gas Light & Coke Company
106,GMTR,GAZPROM M & T RETAIL LTD
